step,total_loss,learning_rate,beats_features,whisper_features
0,3.3125,0.01,"['/m/09x0r', '/m/01j3sz', '/m/07s04w4', '/m/04rlf', '/m/07rkbfh']"," All right, let's do it."
1,2.931640625,0.01,"['/m/09x0r', '/m/07s04w4', '/m/01j3sz', '/m/07rgt08', '/m/06mb1']"," Alright, let's do it"
2,3.22265625,0.01,"['/m/09x0r', '/m/04rlf', '/m/07s04w4', '/m/01j3sz', '/t/dd00038']"," Alright, let's do it"
3,3.505859375,0.01,"['/m/09x0r', '/m/04rlf', '/m/01j3sz', '/t/dd00038', '/m/07s04w4']"," All right, let's do it."
4,3.462890625,0.01,"['/m/09x0r', '/m/04rlf', '/m/01j3sz', '/t/dd00038', '/m/0838f']"," All right, let's do it."
5,3.095703125,0.01,"['/m/09x0r', '/m/04rlf', '/m/01j3sz', '/m/0838f', '/m/07yv9']"," All right, let's do this."
6,3.00390625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/01j3sz', '/m/07yv9']"," All right, let's do this."
7,3.28515625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07yv9', '/m/01j3sz']"," All right, let's do this."
8,3.162109375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07yv9', '/t/dd00038']"," All right, let's do this."
9,2.978515625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/t/dd00038', '/m/07yv9']"," All right, let's do this."
10,2.935546875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07yv9', '/t/dd00038']"," All right, let's do this."
11,2.955078125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07yv9', '/t/dd00038']"," All right, let's do this."
12,2.943359375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07yv9', '/m/0j6m2']"," All right, let's do this."
13,3.052734375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07yv9', '/m/0j6m2']"," All right, let's do this."
14,4.03515625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07yv9', '/m/0j6m2']"," All right, let's do this."
15,3.12109375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']"," All right, let's do this!"
16,3.123046875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']"," All right, let's do this!"
17,3.685546875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']"," Alright, let's do this!"
18,3.095703125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']"," Alright, let's do this!"
19,2.9453125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/t/dd00038']"," All right, let's do this!"
20,3.078125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/t/dd00038']"," All right, let's do this."
21,2.4375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/t/dd00038']"," All right, let's do this!"
22,3.1171875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']"," All right, let's do this!"
23,2.580078125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']"," All right, let's do this!"
24,2.67578125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']"," All right, let's do this!"
25,2.796875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']"," All right, let's do this!"
26,3.296875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07yv9', '/m/0j6m2']"," All right, let's do this."
27,3.35546875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07yv9', '/m/0j6m2']"," All right, let's do this!"
28,2.578125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07yv9', '/m/0j6m2']", Not like this!
29,2.916015625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']", It's not like you.
30,3.08203125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']", I like it. Let's just do this.
31,2.7109375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']", I'm not like you.
32,2.98046875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']"," All right, let's do this!"
33,2.69921875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']", It's not what I expected.
34,2.625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/0j6m2', '/m/07yv9']", Not what I expected.
35,2.5078125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07yv9', '/m/0j6m2']", Not right.
36,3.037109375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07ptzwd', '/m/0j6m2']", Not what I expected.
37,2.8046875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07ptzwd', '/m/0j6m2']", Not what I expected.
38,2.890625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07ptzwd', '/m/0j6m2']", That's not what I expected.
39,2.810546875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07ptzwd', '/m/07yv9']", That's not right.
40,2.76171875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07yv9', '/m/07ptzwd']", She's not right.
41,2.826171875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07yv9', '/m/07pjwq1']", She's not right.
42,2.388671875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07pjwq1', '/m/07yv9']", She's not right.
43,2.529296875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0838f', '/m/07pjwq1', '/m/07yv9']", I like specials!
