step,total_loss,learning_rate,beats_features,whisper_features
0,3.2109375,0.01,"['/m/09x0r', '/m/09ddx', '/m/0dbvp', '/m/0jbk', '/m/07qdb04']"," Yeah, you want to take your duck call and say..."
1,4.25390625,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/025rv6n']"," Yeah, you want to take your duck call and say..."
2,3.080078125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']"," Yeah, you want to take your duck call and say"
3,3.68359375,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']"," Yeah, you want to take your duck call and say"
4,3.03515625,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']"," Ten, you want to take your duck call and say..."
5,2.623046875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", You want to take your duck call and say
6,2.59765625,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", You want to take your duck call and say
7,2.529296875,0.01,"['/m/09x0r', '/m/09ddx', '/m/0jbk', '/m/07qdb04', '/m/0dbvp']"," Men, you want to take your duck call and say..."
8,2.75390625,0.01,"['/m/09x0r', '/m/09ddx', '/m/0jbk', '/m/07qdb04', '/m/0dbvp']"," Men, you want to take your duck call and say..."
9,2.9609375,0.01,"['/m/09x0r', '/m/09ddx', '/m/0jbk', '/m/07qdb04', '/t/dd00129']"," Men, you want to take your duck call and say..."
10,2.8515625,0.01,"['/m/09x0r', '/m/09ddx', '/m/0jbk', '/m/07qdb04', '/t/dd00129']", You want to take your duck call and say
11,2.271484375,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your duck call and say
12,2.62890625,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your duck call and say
13,2.7578125,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your duck call and say
14,2.84765625,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your duck call and say
15,2.18359375,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your duck call and say
16,2.51953125,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your duck call and say
17,2.8125,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your duck call and say
18,2.841796875,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to taste your duck call? Damn say.
19,3.07421875,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to taste your duck call? Damn say.
20,2.66015625,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your dog and say
21,3.13671875,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your dog and say
22,2.353515625,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your duck call and say
23,2.490234375,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your duck call and say
24,2.515625,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your duck call and say
25,2.544921875,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your dust off? Damn say.
26,2.419921875,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your dust off? Damn say.
27,2.68359375,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your dust off? Damn say.
28,2.25390625,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']"," Men, you want to taste your dust, all damn safe."
29,2.55078125,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your dust off? Damn say.
30,1.9609375,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your dust off? Damn say.
31,2.25,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your dust off? Damn say.
32,2.603515625,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']"," Man, you want to taste your dust off, damn say."
33,2.14453125,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your dust off? Damn say.
34,2.326171875,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your dust off? Damn say.
35,2.09375,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your dust off? Damn say.
36,2.744140625,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your dust off? Damn say.
37,2.61328125,0.01,"['/m/09x0r', '/m/0jbk', '/m/09ddx', '/m/07qdb04', '/t/dd00129']", You want to take your dust off? Damn say.
38,2.232421875,0.01,"['/m/09x0r', '/m/09ddx', '/m/0jbk', '/m/07qdb04', '/t/dd00129']", You want to take your dust off?
39,2.55859375,0.01,"['/m/09x0r', '/m/09ddx', '/m/0jbk', '/m/07qdb04', '/t/dd00129']", You want to take your dust off and say
40,2.4140625,0.01,"['/m/09x0r', '/m/09ddx', '/m/0jbk', '/m/07qdb04', '/t/dd00129']", You want to take your dust off?
41,2.21875,0.01,"['/m/09x0r', '/m/09ddx', '/m/0jbk', '/m/07qdb04', '/t/dd00129']", You want to take your dust off?
42,2.60546875,0.01,"['/m/09x0r', '/m/09ddx', '/m/0jbk', '/m/07qdb04', '/t/dd00129']", You want to take your dust off? Damn say.
43,2.537109375,0.01,"['/m/09x0r', '/m/09ddx', '/m/0jbk', '/m/07qdb04', '/t/dd00129']"," Nins, you want to taste your dust cogs, damn say."
44,2.296875,0.01,"['/m/09x0r', '/m/09ddx', '/m/0jbk', '/m/07qdb04', '/t/dd00129']", You want to take your dust off?
45,2.033203125,0.01,"['/m/09x0r', '/m/09ddx', '/m/0jbk', '/m/07qdb04', '/t/dd00129']", You want to take your dust off?
46,2.03515625,0.01,"['/m/09x0r', '/m/09ddx', '/m/0jbk', '/m/07qdb04', '/t/dd00129']"," Damn, damn, damn, damn. Nins, you want to take your dust cogs, damn say."
47,2.474609375,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']"," Man, you want to take your dust off, damn say."
48,2.544921875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your dust off?
49,2.1640625,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your dust off?
50,2.306640625,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']"," Man, you want to taste your dust, dog? Damn say."
51,2.220703125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']"," Man, you want to taste your dust cogs, damn say."
52,1.921875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']"," Men, you want to taste your dust cogs, damn say."
53,2.451171875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']"," Man, you want to taste your dust cold, damn say."
54,2.376953125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']"," Man, you want to taste your dust cold, damn say."
55,2.529296875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']"," Damn, damn, damn, damn. Nian, you want to taste your dust cold, damn say."
56,2.19140625,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']"," Man, you want to taste your dust cold, damn say."
57,2.203125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your dust off?
58,2.169921875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your dust off and say
59,2.3828125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your dust off and say
60,1.947265625,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your dust off?
61,2.00390625,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your dust off?
62,2.427734375,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your dust off?
63,2.2109375,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']"," Damn, damn, damn, damn, damn. Nins, you want to taste your dust cold, damn say."
64,2.03125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']"," Damn, damn, damn, damn, damn. Nins, you want to take your dust cold, damn say."
65,2.185546875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your best call?
66,1.794921875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your best call?
67,2.427734375,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your best call?
68,2.267578125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']"," Ham, ham, ham, ham, ham. Men, you want to taste your death call. Damn safe."
69,1.880859375,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']"," Ham, ham, ham, ham, ham. Men, you want to taste your death call. Damn safe."
70,2.4921875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your best call?
71,2.2109375,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your best call?
72,1.8017578125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your best call?
73,2.501953125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your best call?
74,1.9140625,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your best call?
75,2.740234375,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your best call?
76,2.078125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your best call?
77,2.103515625,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your best call?
78,2.158203125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your dust off? I'm saying.
79,1.9462890625,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/t/dd00129']", You want to take your dust off?
