step,total_loss,learning_rate,beats_features,whisper_features
0,3.55859375,0.0001,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07qyrcz', '/m/07phxs1']", What is the highest mountain in the world?
1,3.171875,0.0001,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07qyrcz', '/m/07phxs1']", What is the highest mountain in the world?
2,3.115234375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/05fw6t', '/m/07qyrcz', '/t/dd00121']", What is the highest mountain in the world?
3,3.650390625,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/07qyrcz', '/m/04rlf', '/m/05fw6t']", What is the highest mountain in the world?
4,2.978515625,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/07qyrcz', '/m/05fw6t']", What is the highest mountain in the world?
5,3.509765625,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/07qyrcz', '/m/05fw6t']", What is the highest mountain in the world?
6,3.42578125,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/m/07qyrcz']", What is the highest mountain in the world?
7,2.845703125,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
8,3.93359375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
9,3.140625,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
10,3.271484375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
11,2.947265625,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
12,3.2109375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
13,2.34765625,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
14,3.255859375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
15,2.9609375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
16,2.748046875,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
17,3.326171875,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
18,2.861328125,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
19,2.888671875,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
20,2.853515625,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
21,3.828125,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
22,3.390625,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
23,3.140625,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
24,2.849609375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
25,3.40234375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
26,3.18359375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
27,3.705078125,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
28,3.302734375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
29,3.1484375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
30,3.861328125,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
31,2.2890625,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
32,3.078125,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
33,2.763671875,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
34,3.2734375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
35,2.703125,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/t/dd00121']", What is the highest mountain in the world?
36,3.328125,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/m/07phxs1']", What is the highest mountain in the world?
37,2.6875,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/m/07phxs1']", What is the highest mountain in the world?
38,3.146484375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/m/07phxs1']", What is the highest mountain in the world?
39,3.15234375,0.0001,"['/m/09x0r', '/m/0ytgt', '/m/04rlf', '/m/05fw6t', '/m/07phxs1']", What is the highest mountain in the world?
