step,total_loss,learning_rate,beats_features,whisper_features
0,3.208984375,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07qyrcz', '/m/07phxs1']", What is the highest mountain in the world?
1,3.447265625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07qyrcz', '/m/07phxs1']", What is the highest mountain in the world?
2,3.296875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/07qyrcz']", What is the highest mountain in the world?
3,3.1484375,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/07qyrcz']", What is the highest mountain in the world?
4,3.39453125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/07qyrcz']", What is the highest mountain in the world?
5,2.806640625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/07qyrcz']", What is the highest mountain in the world?
6,3.091796875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/07qyrcz']", What is the highest mountain in the world?
7,2.88671875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/07qyrcz']", What is the highest mountain in the world?
8,3.61328125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/07qyrcz']", What is the highest mountain in the world?
9,3.759765625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/07qyrcz']", What is the highest mountain in the world?
10,3.8359375,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/07qyrcz']", What is the highest mountain in the world?
11,3.587890625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/07qyrcz']", What is the highest mountain in the world?
12,3.841796875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/07qyrcz']", What is the highest mountain in the world?
13,3.29296875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/07qyrcz']", What is the highest mountain in the world?
14,3.84375,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/07qyrcz']", What is the highest mountain in the world?
15,3.0703125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
16,4.39453125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
17,3.765625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
18,2.69140625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
19,3.734375,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
20,3.16015625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
21,4.32421875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
22,3.44921875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
23,3.146484375,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
24,3.099609375,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
25,2.791015625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
26,3.10546875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
27,3.66015625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
28,4.3125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
29,4.44140625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
30,2.970703125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
31,3.10546875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
32,3.142578125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
33,3.416015625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
34,3.1796875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
35,3.634765625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
36,3.603515625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
37,3.79296875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
38,3.615234375,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
39,3.58203125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
40,3.22265625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
41,3.80078125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
42,3.255859375,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
43,3.65234375,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
44,3.64453125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
45,3.755859375,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
46,3.494140625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
47,3.27734375,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
48,3.001953125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
49,3.81640625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
50,3.5625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
51,4.63671875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
52,3.91015625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
53,3.654296875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
54,3.603515625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
55,2.92578125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
56,3.494140625,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
57,3.125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
58,2.783203125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
59,2.73828125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
60,3.236328125,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
61,3.412109375,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
62,3.044921875,0.01,"['/m/09x0r', '/m/0ytgt', '/t/dd00121', '/m/07phxs1', '/m/01z47d']", What is the highest mountain in the world?
