step,total_loss,learning_rate,beats_features,whisper_features
0,0.67724609375,0.01,"['/m/028v0c', '/m/09x0r', '/m/0ytgt', '/m/0brhx', '/t/dd00125']", . .
0,0.615234375,0.01,"['/m/09x0r', '/m/0k5j', '/m/04rlf', '/m/07yv9', '/m/0cmf2']", Okay.
0,0.71484375,0.01,"['/m/04rlf', '/t/dd00033', '/m/07pkxdp', '/m/02v2lh', '/t/dd00034']", Okay.
0,0.6533203125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", Okay.
0,0.6171875,0.01,"['/m/09x0r', '/m/0_1c', '/m/032s66', '/m/04zjc', '/m/02z32qm']", Okay.
1,0.7080078125,0.01,"['/m/09x0r', '/m/07yv9', '/m/0k5j', '/m/04229', '/m/0ytgt']", Okay.
1,0.66796875,0.01,"['/m/09x0r', '/m/07yv9', '/m/0k5j', '/m/07pjwq1', '/m/07rgkc5']", Okay.
1,0.75634765625,0.01,"['/m/04rlf', '/t/dd00033', '/m/07pkxdp', '/m/07rgkc5', '/m/02v2lh']", I'm
1,0.71484375,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", I
1,0.6904296875,0.01,"['/m/09x0r', '/m/0_1c', '/m/032s66', '/m/04zjc', '/m/02z32qm']", I
2,0.66064453125,0.01,"['/m/09x0r', '/m/07yv9', '/m/04229', '/m/0k5j', '/m/0ytgt']", I
2,0.6064453125,0.01,"['/m/09x0r', '/m/07yv9', '/m/0k5j', '/m/07rgkc5', '/m/07pjwq1']", I
2,0.6962890625,0.01,"['/m/04rlf', '/t/dd00033', '/m/07rgkc5', '/m/07pkxdp', '/m/02v2lh']", I
2,0.6708984375,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", I'm
2,0.61328125,0.01,"['/m/09x0r', '/m/0_1c', '/m/032s66', '/m/04zjc', '/m/014zdl']", I
3,0.64697265625,0.01,"['/m/09x0r', '/m/07yv9', '/m/0ytgt', '/m/04229', '/m/0chx_']", I
3,0.576171875,0.01,"['/m/09x0r', '/m/07yv9', '/m/07rgkc5', '/m/0k5j', '/m/07pjwq1']", I
3,0.6630859375,0.01,"['/m/04rlf', '/m/07rgkc5', '/t/dd00033', '/m/07pkxdp', '/m/02v2lh']", I
3,0.63720703125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", I
3,0.60302734375,0.01,"['/m/09x0r', '/m/0_1c', '/m/032s66', '/m/04zjc', '/m/014zdl']", I
4,0.6357421875,0.01,"['/m/09x0r', '/m/07yv9', '/m/0ytgt', '/m/04229', '/m/0chx_']", I
4,0.59716796875,0.01,"['/m/09x0r', '/m/07yv9', '/m/07rgkc5', '/m/07pjwq1', '/m/0chx_']", Shit!
4,0.6708984375,0.01,"['/m/04rlf', '/m/07rgkc5', '/t/dd00033', '/m/07pkxdp', '/m/02v2lh']", Shit!
4,0.6513671875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", Shit!
4,0.5927734375,0.01,"['/m/09x0r', '/m/0_1c', '/m/032s66', '/m/04zjc', '/m/014zdl']", Shit!
5,0.78515625,0.01,"['/m/09x0r', '/m/0ytgt', '/m/07yv9', '/m/0chx_', '/m/04229']", Shit!
5,0.6845703125,0.01,"['/m/09x0r', '/m/07rgkc5', '/m/07yv9', '/m/07pjwq1', '/m/0chx_']", Shit!
5,0.84228515625,0.01,"['/m/04rlf', '/m/07rgkc5', '/t/dd00033', '/m/07pkxdp', '/m/02v2lh']", Shit!
5,0.7705078125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", Shit!
5,0.71044921875,0.01,"['/m/09x0r', '/m/0_1c', '/m/032s66', '/m/04zjc', '/m/014zdl']", Shit!
6,0.61669921875,0.01,"['/m/09x0r', '/m/0ytgt', '/m/07yv9', '/m/0chx_', '/m/04229']", I'm gonna get the passport. We need to get out of here. We've been killed. We're not leaving. We're not leaving. Fuck.
6,0.58154296875,0.01,"['/m/09x0r', '/m/07yv9', '/m/07pjwq1', '/m/07rgkc5', '/m/0chx_']", I want the passport. We need to search. We killed him. He's not going anywhere. Fuck!
6,0.6708984375,0.01,"['/m/04rlf', '/m/07rgkc5', '/t/dd00033', '/m/07pkxdp', '/m/02v2lh']", I want the passport. We need to search. We killed him. He's not a human being. Shit!
6,0.6279296875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", I want the passport. We'll kill him. We'll kill him. He thinks he's the only one. Bitch!
6,0.556640625,0.01,"['/m/09x0r', '/m/0_1c', '/m/032s66', '/m/04zjc', '/m/014zdl']", I'll get the passport. We'll kill him. We'll kill him. He'll think he's one of us. Bitch!
7,0.7392578125,0.01,"['/m/09x0r', '/m/07yv9', '/m/0ytgt', '/m/0chx_', '/m/04229']", I'm gonna get the passport. We're gonna get him. We're gonna get him. We're gonna get him. We're gonna get him. We're gonna get him. We're gonna get him. We're gonna get him. We're gonna get him. We're gonna get him. We're gonna get him. We're gonna get him. We're gonna get him. We're gonna get him. We're gonna get him. We're gonna get him.
7,0.703125,0.01,"['/m/09x0r', '/m/07yv9', '/m/07pjwq1', '/m/07rgkc5', '/m/04rlf']", I'm going to get the passport. We'll get it. We'll kill him. He won't get away. We'll kill him.
7,0.84912109375,0.01,"['/m/04rlf', '/m/07rgkc5', '/t/dd00033', '/m/07pkxdp', '/m/02v2lh']", I'm going to get the passport. I'm going to get it. Like the one we killed. What do you think? I'm not going to tell anyone. Fuck.
7,0.7666015625,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", I'm going to get the passport. I'm going to get the passport.
7,0.67529296875,0.01,"['/m/09x0r', '/m/0_1c', '/m/032s66', '/m/07rgkc5', '/m/04zjc']", I want the passport of the man who killed him. The one who killed him. He's not thinking of anyone. Fuck!
8,0.5830078125,0.01,"['/m/09x0r', '/m/0ytgt', '/m/07yv9', '/m/0chx_', '/m/04229']", I'm going to get the passport of the man who killed him. He's the one who killed him. He's the only one. Fuck!
8,0.5244140625,0.01,"['/m/09x0r', '/m/07yv9', '/m/07pjwq1', '/m/04rlf', '/m/0chx_']", No! No!
8,0.65234375,0.01,"['/m/04rlf', '/m/07rgkc5', '/t/dd00033', '/m/07pkxdp', '/m/02v2lh']", I'm going to become the bad guy that needs to be sexed. Like this bastard. What do you think? I'm not a person. I'm a whore.
8,0.5810546875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", I'm going to become the bad guy that kills people. Like the one we killed. That's what I think. Like no one. Bitch.
8,0.52294921875,0.01,"['/m/09x0r', '/m/0_1c', '/m/032s66', '/m/07rgkc5', '/m/014zdl']", You call yourself a bad boy because you're a sexist? You're a bastard. You think you're better than anyone. Bitch!
9,0.5830078125,0.01,"['/m/09x0r', '/m/0ytgt', '/m/07yv9', '/m/0chx_', '/m/04229']", You call yourself a bad boy because you're a sexist? You're a bastard. You think you're better than anyone. Bitch!
9,0.54931640625,0.01,"['/m/09x0r', '/m/07yv9', '/m/07pjwq1', '/m/04rlf', '/m/0chx_']"," I'm going to call the bad cops all the sex-suffering men, like the one we killed. What do you think? No one. Bitch."
9,0.71630859375,0.01,"['/m/04rlf', '/m/07rgkc5', '/m/07pkxdp', '/t/dd00033', '/m/02v2lh']"," I'm going to give you the brakes of a sexist man. Like this one, in a tunic. What do you think? I don't have anyone. Bitch!"
9,0.60986328125,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']"," I'm going to cut off your arm for being a sexist man. Like this one, in a tunnel. What do you think? I'm not going to hurt anyone. Bitch."
9,0.556640625,0.01,"['/m/09x0r', '/m/0_1c', '/m/07rgkc5', '/m/032s66', '/m/014zdl']", I'm going to cut off your arm for being a sexist man. Like this bastard. What do you think? You're not going to change a thing. Bitch.
10,0.552734375,0.01,"['/m/09x0r', '/m/0ytgt', '/m/07yv9', '/m/0chx_', '/m/04229']", I'm going to cut off your arm for being a sexist man. Like this bastard. What do you think? You're not going to hurt anyone. Bitch.
10,0.51318359375,0.01,"['/m/09x0r', '/m/04rlf', '/m/07yv9', '/m/0chx_', '/m/07pjwq1']", I'm going to cut off your arm for being a sexist man. Like this bastard. What do you think? You're a woman. A whore.
10,0.6103515625,0.01,"['/m/04rlf', '/m/07rgkc5', '/m/07pkxdp', '/t/dd00033', '/m/02v2lh']", I'm going to cut off your arm for being a sex offender. Like this bastard. That's what he thinks. He's a bastard. A whore.
10,0.5556640625,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", I'm going to break your neck for being a sex offender. Like this bastard. That's what he thinks of me. I'm not a person. I'm a whore.
10,0.513671875,0.01,"['/m/09x0r', '/m/0_1c', '/m/07rgkc5', '/m/014zdl', '/m/032s66']", I'm a black belt in the field of homosexuality. Like this bastard. He thinks he's better than me. Son of a bitch!
11,0.478515625,0.01,"['/m/09x0r', '/m/0ytgt', '/m/07yv9', '/m/0chx_', '/m/04229']", I'm going to break the record for the most sexual man I've ever seen. Like this bastard. He thinks he's the best. He's a whore.
11,0.448486328125,0.01,"['/m/09x0r', '/m/04rlf', '/m/07yv9', '/m/0chx_', '/m/07pjwq1']", I'm going to raise the bar for all the gay people. Like this bastard. He thinks he's the best. He's a whore.
11,0.544921875,0.01,"['/m/04rlf', '/m/07rgkc5', '/t/dd00033', '/m/07pkxdp', '/m/02v2lh']", I'm going to raise the bar for all the gay people. Like this bastard. He thinks he's the king. He's nobody. Son of a bitch.
11,0.482421875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", I'm going to raise the bar for all the gay people. They're going to kill each other. That's what they think. I have no one. I have no one. Bitch!
11,0.446533203125,0.01,"['/m/09x0r', '/m/0_1c', '/m/07rgkc5', '/m/014zdl', '/m/032s66']", I'm going to raise the bar for all the sex workers. They're going to kill themselves. That's what they think. I have no one. Bitch!
12,0.544921875,0.01,"['/m/09x0r', '/m/0ytgt', '/m/07yv9', '/m/04229', '/m/0chx_']", I'm going to raise the bar for all the sex workers. They're going to kill themselves. That's what they think. I have no one. Bitch!
12,0.5009765625,0.01,"['/m/09x0r', '/m/04rlf', '/m/07yv9', '/m/0chx_', '/m/07pjwq1']", I'm going to call the police on you.
12,0.6328125,0.01,"['/m/04rlf', '/m/07rgkc5', '/t/dd00033', '/m/07pkxdp', '/m/02v2lh']"," I'm not a man, I'm a woman. I'm a woman."
12,0.56982421875,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']"," I'm not a man, I'm a woman. I'm a woman."
12,0.50048828125,0.01,"['/m/09x0r', '/m/0_1c', '/m/07rgkc5', '/m/014zdl', '/m/032s66']", I'm not a man. I'm a man. I'm a man.
13,0.537109375,0.01,"['/m/09x0r', '/m/0ytgt', '/m/07yv9', '/m/04229', '/m/0chx_']", I'm not a man. I'm a man. I'm a man.
13,0.50537109375,0.01,"['/m/09x0r', '/m/04rlf', '/m/07yv9', '/m/0chx_', '/m/07pjwq1']", I'm not a man. I'm a man. I'm a man.
13,0.5947265625,0.01,"['/m/04rlf', '/m/07rgkc5', '/t/dd00033', '/m/07pkxdp', '/m/02v2lh']", I'm not in favor of homosexuality. It's like killing yourself. It's what a person thinks. Bitch!
13,0.57177734375,0.01,"['/m/09x0r', '/m/09ddx', '/m/07qdb04', '/m/0jbk', '/m/0dbvp']", I'm not afraid of homosexuality. I'm not afraid of being killed. I don't have anyone. Bitch!
13,0.5107421875,0.01,"['/m/09x0r', '/m/07rgkc5', '/m/0_1c', '/m/014zdl', '/m/032s66']", I'm not afraid of homosexuality. I'm not afraid of being killed. I don't have anyone. Bitch!
14,0.56298828125,0.01,"['/m/09x0r', '/m/07yv9', '/m/0ytgt', '/m/04229', '/m/0j6m2']", I'm not afraid of homosexuals. They're all vile. I don't have anyone. Bitch!
14,0.5341796875,0.01,"['/m/09x0r', '/m/07yv9', '/m/04rlf', '/m/0chx_', '/m/07pjwq1']", I'm going to tell the whole world about your homosexuality. You're like a vegetarian. You think you're a person. Bitch!
14,0.62158203125,0.01,"['/m/04rlf', '/t/dd00033', '/m/07rgkc5', '/m/07pkxdp', '/m/02v2lh']", Bitch!
