step,total_loss,learning_rate,beats_features,whisper_features
0,4.1875,0.01,"['/m/04rlf', '/t/dd00033', '/m/07pkxdp', '/t/dd00034', '/m/02v2lh']", Perfect love
1,3.859375,0.01,"['/m/04rlf', '/t/dd00034', '/t/dd00033', '/m/07yv9', '/m/07pkxdp']", Perfect love
2,3.849609375,0.01,"['/m/04rlf', '/m/07rcgpl', '/m/06xkwv', '/m/07pjwq1', '/m/07rgkc5']", It's too hot.
3,3.123046875,0.01,"['/m/04rlf', '/m/07rcgpl', '/m/06xkwv', '/m/07rgkc5', '/m/07pjwq1']", It's a mess!
4,3.2890625,0.01,"['/m/04rlf', '/m/07rcgpl', '/m/06xkwv', '/m/07rgkc5', '/m/07pjwq1']", I'm going to get mad! It's mad!
5,3.361328125,0.01,"['/m/04rlf', '/m/07rcgpl', '/m/06xkwv', '/m/07rgkc5', '/m/07pjwq1']", I'm going to get a raise. I'm going to get a raise.
6,2.974609375,0.01,"['/m/04rlf', '/m/07rcgpl', '/m/06xkwv', '/m/07rgkc5', '/m/07pjwq1']", Like a man. Let this mess
7,3.125,0.01,"['/m/04rlf', '/m/07rcgpl', '/m/06xkwv', '/m/07rgkc5', '/m/07pjwq1']"," Like a man, like a man. Let this mess go."
8,3.041015625,0.01,"['/m/04rlf', '/m/07rcgpl', '/m/06xkwv', '/m/07rgkc5', '/m/07pjwq1']"," I'd like to get a man in here, but he's like a little kid. Breath, dismissed."
9,3.03125,0.01,"['/m/04rlf', '/m/07rcgpl', '/m/06xkwv', '/m/07rgkc5', '/m/07pjwq1']"," I do get mad at him, but he's just like, ugh. Blast. Dismissed."
10,3.216796875,0.01,"['/m/04rlf', '/m/07rcgpl', '/m/06xkwv', '/m/07rgkc5', '/m/07pjwq1']", I'd like to get mad at him if he was like this. Lift dismissed.
11,3.23828125,0.01,"['/m/04rlf', '/m/07rcgpl', '/m/06xkwv', '/m/07rgkc5', '/m/07pjwq1']"," I need to get a man, just like her! Lift dismissed!"
12,3.00390625,0.01,"['/m/04rlf', '/m/07rcgpl', '/m/06xkwv', '/m/07rgkc5', '/m/07pjwq1']"," I need to get a man! Lift, dismiss!"
