step,total_loss,learning_rate,beats_features,whisper_features
0,4.10546875,0.01,"['/m/0_1c', '/m/032s66', '/m/09x0r', '/m/04zjc', '/m/014zdl']", Can you guess where I am right now?
1,2.9921875,0.01,"['/m/09x0r', '/m/02z32qm', '/m/032s66', '/m/0_1c', '/m/04zjc']", Can you guess where I am right now?
2,3.09375,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07pjwq1', '/m/032s66']", Can you get where I am right now?
3,3.05078125,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/07pjwq1']", Can you get where I am right now?
4,3.318359375,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/07pjwq1']", Can you get where I am right now?
5,3.23828125,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/0chx_']", Can you get where I am right now?
6,2.80859375,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/0chx_']", Can you get where I am right now?
7,2.853515625,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/0chx_']", Can you get where I am right now?
8,3.171875,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/0chx_']", I knew that I had to be where I am right now.
9,3.017578125,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/0chx_']", I'm not sure if I can do it.
10,3.125,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/0chx_']"," I'm going to get you, I'll take you to the wall."
11,3.125,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/0chx_']"," I'm going to get you, you son of a bitch!"
12,2.783203125,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/0chx_']", I need to get back to the base. I need to check the work.
13,3.068359375,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/0chx_']", I'd like to take back my horn. I'm a scum. I work for the Contour.
14,2.794921875,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/0chx_']", I'd like to take the stake back. I'm a scum. I'm a scum.
15,2.82421875,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/07pjwq1']", I'd like to take back my Karyuka. I'm a scum. I'm a slave of the country.
16,3.095703125,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/07pjwq1']", I'd like to take it back. I'm a bastard.
17,3.205078125,0.01,"['/m/09x0r', '/m/04rlf', '/m/07rcgpl', '/m/07rgkc5', '/m/07pjwq1']", I'd like to take it back. I'm a bastard.
