id,prompt,answer
Mercury_7220990,"Question: Which factor will most likely cause a person to develop a fever?
Choices:
A: a leg muscle relaxing after exercise
B: a bacterial population in the bloodstream
C: several viral particles on the skin
D: carbohydrates being digested in the stomach",B
Mercury_7013388,"Question: A chewable calcium carbonate tablet is a common treatment for stomach discomfort. Calcium carbonate is most likely used as this type of medicine because calcium carbonate
Choices:
A: has a pleasant flavor.
B: is inexpensive to produce.
C: neutralizes digestive acid.
D: occurs naturally in the body.",C
Mercury_7179953,"Question: Which two body systems are directly involved in movement?
Choices:
A: muscular and skeletal
B: digestive and muscular
C: skeletal and respiratory
D: respiratory and digestive",A
Mercury_7205118,"Question: Which change in the state of water particles causes the particles to become arranged in a fixed position?
Choices:
A: boiling
B: melting
C: freezing
D: evaporating",C
MCAS_2016_8_13,"Question: Earth's core is primarily composed of which of the following materials?
Choices:
A: basalt
B: iron
C: magma
D: quartz",B
Mercury_7283255,"Question: Which of the following events during meiosis contributes most to the variation within a species?
Choices:
A: pairing of chromosomes
B: creation of haploid gametes
C: segregation of alleles
D: separation of chromatids",C
MCAS_2005_5_29,"Question: Which of the following was probably most important in the formation of dark, fertile soil that is good for farming?
Choices:
A: plant decomposition
B: radioactive decay
C: water erosion
D: wind erosion",A
MCAS_2001_8_7,"Question: When igneous rock is changed into metamorphic rock, which form of energy is this process?
Choices:
A: heat
B: chemical
C: magnetic
D: light",A
MCAS_2016_8_7,"Question: Many natural rock formations change color over time. In Utah, for example, iron oxidized and formed red, orange, and yellow rock. Which of the following is the cause of this change?
Choices:
A: chemical weathering
B: mechanical weathering
C: water erosion
D: wind erosion",A
MEA_2016_8_8,"Question: A population of small, plant-eating beetles lives in a forest. About half of the beetles are light brown and the others are dark green. If years of drought cause the area to become dry with few trees, what would the beetle population most likely look like after several generations?
Choices:
A: It would be mostly light brown beetles.
B: It would be mostly dark green beetles.
C: It would be mostly carnivorous beetles.
D: It would be mostly very large beetles.",A
Mercury_405944,"Question: Automobile engines built today are designed to be gas efficient. Gas-efficient engines most likely affect a city by reducing
Choices:
A: air pollution.
B: heat pollution.
C: noise pollution.
D: light pollution.",A
NYSEDREGENTS_2011_8_4,"Question: Which type of energy in gasoline is transformed into mechanical energy in a motorcycle engine?
Choices:
1: chemical
2: nuclear
3: magnetic
4: electrical",1
NYSEDREGENTS_2007_8_7,"Question: Which group of organisms can show significant trait changes in the shortest period of time?
Choices:
1: bacteria
2: birds
3: fish
4: reptiles",1
CSZ10336,"Question: Peach trees have sweet-smelling blossoms and produce rich fruit. What is the main purpose of the flowers of a peach tree?
Choices:
A: to attract bees for pollination
B: to create flower arrangements
C: to protect the tree from disease
D: to feed migratory birds",A
Mercury_7109393,"Question: A group of students are researching changes in climate in their region. Which of these would best provide evidence of changes in temperature and rainfall over a period of years?
Choices:
A: tree rings
B: pollen samples
C: harvest production
D: carbon dating",A
Mercury_7017763,"Question: Soil erosion can be best prevented by
Choices:
A: removing grass from the steepest slope.
B: building terraces into the sides of a slope.
C: heavily watering the vegetation on the slope.
D: increasing the slope of the land by adding more soil.",B
MCAS_1999_4_29,"Question: Which of the following properties provides the BEST way to identify a mineral?
Choices:
A: hardness
B: shape
C: size
D: temperature",A
VASoL_2009_5_4,"Question: When ice cream is left out of a freezer, the ice cream changes from a ___.
Choices:
A: solid to a gas
B: gas to a liquid
C: solid to a liquid
D: liquid to a gas",C
Mercury_7018305,"Question: On a small, isolated island, a hurricane destroyed all the trees that produced a large, hard-shelled nut. Which bird population would most likely decrease?
Choices:
A: birds with long, probing beaks
B: birds with thick, strong beaks
C: birds with thin, short beaks
D: birds with large, pouch beaks",B
Mercury_7145250,"Question: A cow and a frog have similar bone structures in their forelimbs. Both have phalanges, radius, ulna, and humerus bones. However, the cow and frog are animals with very different life cycles from each other. Which most likely describes why the body structures of these animals are so similar?
Choices:
A: Both have undergone similar mutations.
B: Both descended from a common ancestor.
C: Both reacted similarly to environmental pressures.
D: Both spread out from the same geographical region.",B
